# time (s)	h_+ (strain)	h_x (strain)
-0.176391602	-1.730909594083971716e-22	2.540910167781291183e-22
-0.176330567	-1.766098356273034535e-22	2.523941659105756443e-22
-0.176269532	-1.801144069994292762e-22	2.506494388050541148e-22
-0.176208496	-1.836040304991366678e-22	2.488568953535561616e-22
-0.176147461	-1.870780605689601510e-22	2.470166042792325830e-22
-0.176086426	-1.905358489899916589e-22	2.451286432569565592e-22
-0.176025391	-1.939767452884443452e-22	2.431930991823760650e-22
-0.175964356	-1.974000967183192156e-22	2.412100683839587569e-22
-0.175903321	-2.008052485056130443e-22	2.391796567847700882e-22
-0.175842286	-2.041915442109709823e-22	2.371019802083109845e-22
-0.175781250	-2.075583256399382227e-22	2.349771643596437298e-22
-0.175720215	-2.109049333494795753e-22	2.328053452069186891e-22
-0.175659180	-2.142307067446611503e-22	2.305866690562929826e-22
-0.175598145	-2.175349843719694888e-22	2.283212926775011184e-22
-0.175537110	-2.208171042268825747e-22	2.260093834742997927e-22
-0.175476075	-2.240764040167592722e-22	2.236511196888090565e-22
-0.175415039	-2.273122212921877480e-22	2.212466904148012327e-22
-0.175354004	-2.305238940609719377e-22	2.187962956238935628e-22
-0.175292969	-2.337107607915982195e-22	2.163001465397563957e-22
-0.175231934	-2.368721608550437437e-22	2.137584653729126338e-22
-0.175170899	-2.400074349099624213e-22	2.111714856074124056e-22
-0.175109864	-2.431159250852630827e-22	2.085394518968328485e-22
-0.175048829	-2.461969753329398439e-22	2.058626201677968435e-22
-0.174987793	-2.492499319272731478e-22	2.031412576008100119e-22
-0.174926758	-2.522741434552001145e-22	2.003756425644902082e-22
-0.174865723	-2.552689615235160167e-22	1.975660646546638975e-22
-0.174804688	-2.582337408451559417e-22	1.947128245831437016e-22
-0.174743653	-2.611678396286178258e-22	1.918162341530764955e-22
-0.174682618	-2.640706198741704796e-22	1.888766161323135133e-22
-0.174621582	-2.669414477925507584e-22	1.858943042075732162e-22
-0.174560547	-2.697796939293786361e-22	1.828696427562185934e-22
-0.174499512	-2.725847337306102372e-22	1.798029868292126827e-22
-0.174438477	-2.753559475440785808e-22	1.766947019025773105e-22
-0.174377442	-2.780927211059834841e-22	1.735451638198077872e-22
-0.174316407	-2.807944458128328711e-22	1.703547584271980715e-22
-0.174255371	-2.834605188443171026e-22	1.671238816008037903e-22
-0.174194336	-2.860903435870135644e-22	1.638529388249524699e-22
-0.174133301	-2.886833297179720265e-22	1.605423451127989259e-22
-0.174072266	-2.912388935379005237e-22	1.571925246385207921e-22
-0.174011231	-2.937564581206175192e-22	1.538039107376555586e-22
-0.173950196	-2.962354536111858601e-22	1.503769452786214819e-22
-0.173889161	-2.986753171862386202e-22	1.469120787154880661e-22
-0.173828125	-3.010754934977133597e-22	1.434097697339419904e-22
-0.173767090	-3.034354345307184950e-22	1.398704848112602656e-22
-0.173706055	-3.057545999694599881e-22	1.362946981798138611e-22
-0.173645020	-3.080324571452412383e-22	1.326828913573333915e-22
-0.173583985	-3.102684812090264050e-22	1.290355529548698275e-22
-0.173522950	-3.124621551503145213e-22	1.253531783177289315e-22
-0.173461914	-3.146129699200138243e-22	1.216362693156652644e-22
-0.173400879	-3.167204243668860673e-22	1.178853339934703453e-22
-0.173339844	-3.187840252725984443e-22	1.141008862313710172e-22
-0.173278809	-3.208032874869238724e-22	1.102834456537885158e-22
-0.173217774	-3.227777336569552415e-22	1.064335370908845682e-22
-0.173156739	-3.247068944451206841e-22	1.025516905843482105e-22
-0.173095704	-3.265903082568570813e-22	9.863844086126708616e-23
-0.173034668	-3.284275213164917020e-22	9.469432731110129788e-23
-0.172973633	-3.302180875590049407e-22	9.071989356765279048e-23
-0.172912598	-3.319615683950668642e-22	8.671568737795616511e-23
-0.172851563	-3.336575327530224839e-22	8.268226033300583731e-23
-0.172790528	-3.353055568847580179e-22	7.862016771007428446e-23
-0.172729493	-3.369052242112413092e-22	7.452996827074217986e-23
-0.172668457	-3.384561251538103627e-22	7.041222398499689118e-23
-0.172607422	-3.399578570513583577e-22	6.626750008691592997e-23
-0.172546387	-3.414100238641256221e-22	6.209636467780501246e-23
-0.172485352	-3.428122361178476642e-22	5.789938880268155253e-23
-0.172424317	-3.441641105405247854e-22	5.367714625934278181e-23
-0.172363282	-3.454652701837556663e-22	4.943021351574335508e-23
-0.172302246	-3.467153437825582535e-22	4.515916960522476129e-23
-0.172241211	-3.479139660084369542e-22	4.086459622006737060e-23
-0.172180176	-3.490607768199590588e-22	3.654707747931957962e-23
-0.172119141	-3.501554217832294839e-22	3.220720010059076240e-23
-0.172058106	-3.511975513311781155e-22	2.784555332046221552e-23
-0.171997071	-3.521868209946714025e-22	2.346272890257606383e-23
-0.171936036	-3.531228909337410079e-22	1.905932126595034301e-23
-0.171875000	-3.540054259753320363e-22	1.463592752667538286e-23
-0.171813965	-3.548340952466059718e-22	1.019314754384723645e-23
-0.171752930	-3.556085720940516207e-22	5.731584094827305128e-24
-0.171691895	-3.563285339517515035e-22	1.251842915397977775e-24
-0.171630860	-3.569936621684333454e-22	-3.245467006436756120e-24
-0.171569825	-3.576036418491586354e-22	-7.759733482644007975e-24
-0.171508789	-3.581581618495448358e-22	-1.229034074055378022e-23
-0.171447754	-3.586569144726240098e-22	-1.683666939464409260e-23
-0.171386719	-3.590995956387098418e-22	-2.139809615033295675e-23
-0.171325684	-3.594859045864933107e-22	-2.597399359732609314e-23
-0.171264649	-3.598155440124800172e-22	-3.056373009203890798e-23
-0.171203614	-3.600882199904863127e-22	-3.516666927168436826e-23
-0.171142579	-3.603036417913722563e-22	-3.978217010290273282e-23
-0.171081543	-3.604615222686127895e-22	-4.440958644245693207e-23
-0.171020508	-3.605615775312748319e-22	-4.904826687757297557e-23
-0.170959473	-3.606035272151882173e-22	-5.369755436299845403e-23
-0.170898438	-3.605870945318643142e-22	-5.835678595975014234e-23
-0.170837403	-3.605120063389850617e-22	-6.302529284435846331e-23
-0.170776368	-3.603779933121959208e-22	-6.770239957451039988e-23
-0.170715332	-3.601847900887802480e-22	-7.238742427702025768e-23
-0.170654297	-3.599321354421485486e-22	-7.707967804270247650e-23
-0.170593262	-3.596197725048611637e-22	-8.177846490557158694e-23
-0.170532227	-3.592474489928065162e-22	-8.648308153546379119e-23
-0.170471192	-3.588149174802239068e-22	-9.119281695954749319e-23
-0.170410157	-3.583219355992298561e-22	-9.590695239322664939e-23
-0.170349121	-3.577682664488856247e-22	-1.006247609229401070e-22
-0.170288086	-3.571536788424866183e-22	-1.053455076276877835e-22
-0.170227051	-3.564779476665557292e-22	-1.100684488516069265e-22
-0.170166016	-3.557408542513922578e-22	-1.147928326513656399e-22
-0.170104981	-3.549421867262133940e-22	-1.195178981735097331e-22
-0.170043946	-3.540817404686662664e-22	-1.242428758609224106e-22
-0.169982911	-3.531593185046509987e-22	-1.289669871028828013e-22
-0.169921875	-3.521747318703955396e-22	-1.336894443030512859e-22
-0.169860840	-3.511278001717457179e-22	-1.384094509466844512e-22
-0.169799805	-3.500183519393067250e-22	-1.431262011372563462e-22
-0.169738770	-3.488462251831109385e-22	-1.478388801825189638e-22
-0.169677735	-3.476112677623964716e-22	-1.525466641068567789e-22
-0.169616700	-3.463133380261714726e-22	-1.572487201086951103e-22
-0.169555664	-3.449523051914667658e-22	-1.619442062725735941e-22
-0.169494629	-3.435280497978553190e-22	-1.666322720180804533e-22
-0.169433594	-3.420404643668906555e-22	-1.713120581424155503e-22
-0.169372559	-3.404894537320186543e-22	-1.759826967402717003e-22
-0.169311524	-3.388749356152009754e-22	-1.806433119177769026e-22
-0.169250489	-3.371968411619383980e-22	-1.852930195036048484e-22
-0.169189454	-3.354551153258790305e-22	-1.899309277405763637e-22
-0.169128418	-3.336497173805378970e-22	-1.945561372107407351e-22
-0.169067383	-3.317806214256239193e-22	-1.991677415396882897e-22
-0.169006348	-3.298478168294260255e-22	-2.037648274433504935e-22
-0.168945313	-3.278513086217028584e-22	-2.083464754022680243e-22
-0.168884278	-3.257911179803652723e-22	-2.129117596823908154e-22
-0.168823243	-3.236672825856548502e-22	-2.174597492614503587e-22
-0.168762207	-3.214798570821744974e-22	-2.219895079414340138e-22
-0.168701172	-3.192289133423556572e-22	-2.265000949764381695e-22
-0.168640137	-3.169145409101925712e-22	-2.309905656500620411e-22
-0.168579102	-3.145368472523835431e-22	-2.354599716894826089e-22
-0.168518067	-3.120959580678278813e-22	-2.399073619491597479e-22
-0.168457032	-3.095920175942339457e-22	-2.443317829959337452e-22
-0.168395996	-3.070251887664305896e-22	-2.487322796086115276e-22
-0.168334961	-3.043956534401602187e-22	-2.531078955013459488e-22
-0.168273926	-3.017036126447608001e-22	-2.574576739075777479e-22
-0.168212891	-2.989492865696843526e-22	-2.617806583195926490e-22
-0.168151856	-2.961329148073567129e-22	-2.660758930805522254e-22
-0.168090821	-2.932547564074887596e-22	-2.703424240597249385e-22
-0.168029786	-2.903150897405279806e-22	-2.745792993250208739e-22
-0.167968750	-2.873142127769183148e-22	-2.787855698605932394e-22
-0.167907715	-2.842524427737513501e-22	-2.829602903275806922e-22
-0.167846680	-2.811301163697146698e-22	-2.871025194600785363e-22
-0.167785645	-2.779475893890321842e-22	-2.912113212102966667e-22
-0.167724610	-2.747052367919677311e-22	-2.952857649577155618e-22
